Country,TotalCases,TotalDeaths,TotalTests,TotCases_1M_Pop,Deaths_1M_pop,Tests_1M_Pop,CFR,ConfirmationRate
Thailand,2826.0,49.0,142589.0,40.0,0.7,2043.0,0.017338995046001414,0.01981920063960053
Moldova,2778.0,75.0,11763.0,689.0,19.0,2916.0,0.026997840172786176,0.23616424381535323
Greece,2408.0,121.0,56944.0,231.0,12.0,5463.0,0.05024916943521595,0.04228715931441416
Hungary,2168.0,225.0,52702.0,224.0,23.0,5455.0,0.10378228782287822,0.041136958749193576
Kazakhstan,2135.0,19.0,139207.0,114.0,1.0,7414.0,0.008899297423887589,0.0153368724273923
Bahrain,2027.0,7.0,97796.0,1191.0,4.0,57474.0,0.003453379378391712,0.02072681909280543
Croatia,1950.0,48.0,27614.0,475.0,12.0,6726.0,0.024615384615384615,0.0706163540233215
Iceland,1785.0,10.0,44468.0,5231.0,29.0,130312.0,0.0056022408963585435,0.040141225150670146
Uzbekistan,1716.0,7.0,150000.0,51.0,0.2,4482.0,0.004079254079254079,0.01144
Iraq,1631.0,83.0,62880.0,41.0,2.0,1563.0,0.050889025137952175,0.025938295165394403
Estonia,1559.0,44.0,43637.0,1175.0,33.0,32895.0,0.028223220012828735,0.03572656232096615
Azerbaijan,1518.0,20.0,108221.0,150.0,2.0,10674.0,0.013175230566534914,0.014026852459319356
Armenia,1473.0,24.0,14966.0,497.0,8.0,5051.0,0.016293279022403257,0.09842309234264332
New Zealand,1451.0,14.0,94797.0,301.0,3.0,19658.0,0.009648518263266712,0.015306391552475289
Lithuania,1370.0,38.0,76973.0,503.0,14.0,28275.0,0.027737226277372264,0.017798448806724435
Bosnia and Herzegovina,1368.0,53.0,20125.0,417.0,16.0,6134.0,0.03874269005847953,0.06797515527950311
Slovenia,1353.0,79.0,44435.0,651.0,38.0,21374.0,0.058388765705838876,0.03044897040621132
North Macedonia,1259.0,56.0,13000.0,604.0,27.0,6240.0,0.04447974583002383,0.09684615384615385
Slovakia,1244.0,14.0,52649.0,228.0,3.0,9643.0,0.011254019292604502,0.023628179072726928
Cuba,1189.0,40.0,30416.0,105.0,4.0,2685.0,0.0336417157275021,0.03909126775381378
Afghanistan,1176.0,40.0,6422.0,30.0,1.0,165.0,0.034013605442176874,0.18312052320149486
Ghana,1154.0,9.0,68591.0,37.0,0.3,2207.0,0.00779896013864818,0.01682436471257162
Hong Kong,1034.0,4.0,131786.0,138.0,0.5,17579.0,0.0038684719535783366,0.007846053450290623
Bulgaria,1024.0,49.0,27000.0,147.0,7.0,3886.0,0.0478515625,0.037925925925925925
Djibouti,974.0,2.0,10272.0,986.0,2.0,10397.0,0.002053388090349076,0.0948208722741433
Tunisia,901.0,38.0,18165.0,76.0,3.0,1537.0,0.042175360710321866,0.049600880814753646
Cyprus,790.0,13.0,37081.0,654.0,11.0,30712.0,0.016455696202531647,0.021304711307677787
Nigeria,782.0,25.0,8003.0,4.0,0.1,39.0,0.0319693094629156,0.0977133574909409
Latvia,761.0,11.0,39336.0,403.0,6.0,20855.0,0.01445466491458607,0.019346146023998374
Andorra,723.0,37.0,1673.0,9357.0,479.0,21653.0,0.051175656984785614,0.43215780035863716
Lebanon,682.0,22.0,22853.0,100.0,3.0,3348.0,0.03225806451612903,0.02984290902726119
Costa Rica,681.0,6.0,11766.0,134.0,1.0,2310.0,0.00881057268722467,0.057878633350331464
Niger,657.0,20.0,4832.0,27.0,0.8,200.0,0.030441400304414,0.1359685430463576
Albania,634.0,27.0,6269.0,220.0,9.0,2178.0,0.04258675078864353,0.10113255702663902
Kyrgyzstan,612.0,7.0,26147.0,94.0,1.0,4008.0,0.011437908496732025,0.02340612689792328
Bolivia,609.0,37.0,4420.0,52.0,3.0,379.0,0.060755336617405585,0.13778280542986426
Uruguay,543.0,12.0,13923.0,156.0,3.0,4008.0,0.022099447513812154,0.039000215470803706
Honduras,510.0,46.0,2535.0,51.0,5.0,256.0,0.09019607843137255,0.20118343195266272
Channel Islands,498.0,28.0,3320.0,2864.0,161.0,19095.0,0.05622489959839357,0.15
San Marino,488.0,40.0,1872.0,14382.0,1179.0,55171.0,0.08196721311475409,0.2606837606837607
Palestine,474.0,4.0,17329.0,93.0,0.8,3397.0,0.008438818565400843,0.02735299209417739
Malta,444.0,3.0,26148.0,1006.0,7.0,59220.0,0.006756756756756757,0.01698026617714548
Senegal,442.0,6.0,466.0,26.0,0.4,28.0,0.013574660633484163,0.9484978540772532
Jordan,435.0,7.0,35000.0,43.0,0.7,3430.0,0.016091954022988506,0.012428571428571428
Taiwan,426.0,6.0,56853.0,18.0,0.3,2387.0,0.014084507042253521,0.007493008284523244
Georgia,416.0,5.0,8375.0,104.0,1.0,2099.0,0.01201923076923077,0.049671641791044774
Sri Lanka,330.0,7.0,7393.0,15.0,0.3,345.0,0.021212121212121213,0.04463681861220073
Mauritius,329.0,9.0,9755.0,259.0,7.0,7670.0,0.02735562310030395,0.03372629420809841
Mayotte,326.0,4.0,2100.0,1195.0,15.0,7698.0,0.012269938650306749,0.15523809523809523
Guatemala,316.0,8.0,7200.0,18.0,0.4,402.0,0.02531645569620253,0.04388888888888889
Montenegro,315.0,5.0,5085.0,502.0,8.0,8096.0,0.015873015873015872,0.061946902654867256
Isle of Man,307.0,15.0,2654.0,3610.0,176.0,31211.0,0.048859934853420196,0.11567445365486059
Kenya,303.0,14.0,14704.0,6.0,0.3,273.0,0.0462046204620462,0.02060663764961915
Mali,293.0,17.0,2023.0,14.0,0.8,100.0,0.05802047781569966,0.14483440434997527
Venezuela,288.0,10.0,347236.0,10.0,0.4,12211.0,0.034722222222222224,0.0008294070891267034
El Salvador,237.0,7.0,14375.0,37.0,1.0,2216.0,0.029535864978902954,0.01648695652173913
Jamaica,233.0,6.0,1936.0,79.0,2.0,654.0,0.02575107296137339,0.12035123966942149
Paraguay,213.0,9.0,5878.0,30.0,1.0,824.0,0.04225352112676056,0.03623681524328003
Gabon,156.0,1.0,572.0,70.0,0.4,257.0,0.00641025641025641,0.2727272727272727
Brunei,138.0,1.0,12149.0,315.0,2.0,27770.0,0.007246376811594203,0.01135895958515104
Myanmar,123.0,5.0,5198.0,2.0,0.09,96.0,0.04065040650406504,0.02366294728741824
Ethiopia,116.0,3.0,9771.0,1.0,0.03,85.0,0.02586206896551724,0.011871865725104902
Trinidad and Tobago,115.0,8.0,1425.0,82.0,6.0,1018.0,0.06956521739130435,0.08070175438596491
Aruba,100.0,2.0,1504.0,937.0,19.0,14087.0,0.02,0.06648936170212766
Bermuda,98.0,5.0,877.0,1574.0,80.0,14082.0,0.05102040816326531,0.11174458380843785
Togo,88.0,6.0,4733.0,11.0,0.7,572.0,0.06818181818181818,0.01859285865201775
Equatorial Guinea,84.0,1.0,854.0,60.0,0.7,609.0,0.011904761904761904,0.09836065573770492
Liechtenstein,81.0,1.0,900.0,2124.0,26.0,23605.0,0.012345679012345678,0.09
Barbados,75.0,5.0,1098.0,261.0,17.0,3821.0,0.06666666666666667,0.06830601092896176
Zambia,74.0,3.0,2586.0,4.0,0.2,141.0,0.04054054054054054,0.028615622583139984
Sint Maarten,71.0,11.0,258.0,1656.0,257.0,6017.0,0.15492957746478872,0.2751937984496124
Guyana,67.0,7.0,348.0,85.0,9.0,442.0,0.1044776119402985,0.1925287356321839
Cayman Islands,66.0,1.0,778.0,1004.0,15.0,11838.0,0.015151515151515152,0.08483290488431877
Libya,59.0,1.0,891.0,9.0,0.1,130.0,0.01694915254237288,0.06621773288439955
Haiti,58.0,4.0,642.0,5.0,0.4,56.0,0.06896551724137931,0.09034267912772585
Eswatini,31.0,1.0,714.0,27.0,0.9,615.0,0.03225806451612903,0.04341736694677871
Zimbabwe,28.0,3.0,4159.0,2.0,0.2,280.0,0.10714285714285714,0.006732387593171436
Antigua and Barbuda,24.0,3.0,108.0,245.0,31.0,1103.0,0.125,0.2222222222222222
Malawi,23.0,3.0,519.0,1.0,0.2,27.0,0.13043478260869565,0.04431599229287091
Botswana,22.0,1.0,4432.0,9.0,0.4,1885.0,0.045454545454545456,0.004963898916967509
Belize,18.0,2.0,785.0,45.0,5.0,1974.0,0.1111111111111111,0.022929936305732482
Curaçao,14.0,1.0,302.0,85.0,6.0,1840.0,0.07142857142857142,0.046357615894039736
Burundi,11.0,1.0,284.0,0.9,0.08,24.0,0.09090909090909091,0.03873239436619718
Turks and Caicos,11.0,1.0,83.0,284.0,26.0,2144.0,0.09090909090909091,0.13253012048192772
Gambia,10.0,1.0,316.0,4.0,0.4,131.0,0.1,0.03164556962025317
Suriname,10.0,1.0,404.0,17.0,2.0,689.0,0.1,0.024752475247524754
Mauritania,7.0,1.0,969.0,2.0,0.2,208.0,0.14285714285714285,0.007223942208462332
